XTF Segment of Deutsche Börse Group,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Source MSCI USA UCITS ETF ,IE00B60SX170,Source Markets,Swap-based,Accumulating,3.9583838,13.954744539999998,-0.7163413641393681,0.00031492444126849826,117.69047553504001,9.68,Equities
SPDR MSCI Europe UCITS ETF,IE00BKWQ0Q14,SPDR,Full Replication,Accumulating,3.9409896800000004,4.76196486,-0.17240261197559525,0.0003135405851799711,676.92751551,22.91,Equities
db x-trackers STOXX Europe 600 Basic Resources UCITS ETF,LU0292100806,db X-trackers,Swap-based,Accumulating,3.91693718,2.87979025,0.36014669123905807,0.0003116269960723129,35.4340822716,20.13,Equities
Ossiam Emerging Markets Minimum Variance NR UCITS ETF 1C-EUR,LU0705291903,Ossiam,Swap-based,Accumulating,3.89275652,2.9700081600000003,0.3106888298919688,0.00030970321070314193,123.20997071,35.54,Equities
iShares Asia Property Yield UCITS ETF,DE000A0LGQJ9,iShares,Full Replication,Distributing,3.845993639,2.644135884,0.4545370615302309,0.00030598280992466504,183.9227022202691,41.75,Equities
iShares MSCI USA Small Cap UCITS ETF,IE00B3VWM098,iShares,Optimised,Accumulating,3.84504103,1.292075403,1.9758642731472231,0.00030590702145335196,351.0323168047801,38.31,Equities
Deka EURO iSTOXX ex Fin Dividend+ UCITS ETF,DE000ETFL482,Deka ETFs,Full Replication,Distributing,3.8317047000000004,0.0797363,47.05470908482085,0.00030484599844850284,26.127903460000002,22.46,Equities
Source STOXX Europe 600 Optimised Insurance UCITS ETF,IE00B5MTXJ97,Source Markets,Swap-based,Accumulating,3.80197006,3.43951675,0.10537913792686138,0.00030248034484808134,163.87809741,15.95,Equities
Source JPX-Nikkei 400 UCITS ETF Euro Hedged,IE00BVGC6645,Source Markets,Swap-based,Accumulating,3.7646414,7.76210162,-0.5149971509906617,0.00029951051979124836,53.091535,42.53,Equities
iShares MSCI Russia ADR/GDR UCITS ETF,IE00B5V87390,iShares,Full Replication,Accumulating,3.745736694,1.804972524,1.0752319740020595,0.0002980064832260231,160.9407617528295,41.11,Equities
db x-trackers STOXX Europe 600 Industrial Goods UCITS ETF,LU0292106084,db X-trackers,Swap-based,Accumulating,3.72858523,2.32106834,0.6064090685067896,0.00029664193256847025,38.3968724464,22.21,Equities
db x-trackers Equity Value Factor UCITS ETF (DR),IE00BL25JM42,db X-trackers,Full Replication,Accumulating,3.7246593399999997,1.40794672,1.6454547512991113,0.00029632959329638355,63.1381446108,47.07,Equities
Lyxor UCITS ETF MSCI Korea ,FR0010361691,Lyxor ETF,Swap-based,Accumulating,3.7230384900000004,5.24745276,-0.2905055728410215,0.0002962006403432541,76.9747151,43.99,Equities
Lyxor UCITS ETF MSCI USA ,FR0010296061,Lyxor ETF,Swap-based,Distributing,3.6941308900000003,18.970709725000003,-0.8052718668120362,0.000293900785089599,495.8101962,22.05,Equities
SPDR S&P U.S. Health Care Select Sector UCITS ETF,IE00BWBXM617,SPDR,Full Replication,Accumulating,3.6821689249999996,0.277425275,12.27265125717186,0.0002929491049760894,10.445317625426998,41.89,Equities
Amundi ETF MSCI Nordic UCITS ETF,FR0010655738,Amundi ETF,Swap-based,Acc / Distr,3.677549702,3.09350721,0.1887962278258275,0.00029258160493165976,374.35347603,13.46,Equities
ComStage STOXX Europe 600 Personal & Household Goods NR UCITS ETF,LU0378436520,ComStage ETF,Swap-based,Accumulating,3.63014746,1.1006698700000002,2.298125586012452,0.00028881033733079597,18.269285449999998,9.56,Equities
Amundi ETF MSCI Eastern Europe ex Russia UCITS ETF - EUR,FR0010717074,Amundi ETF,Swap-based,Acc / Distr,3.5277529,3.31972695,0.06266357237603515,0.0002806639444527396,33.13145339,24.13,Equities
HSBC FTSE EPRA/NAREIT Development UCITS ETF,DE000A1JXC78,HSBC ETFs,Full Replication,Distributing,3.51709518,4.71664566,-0.25432278921711493,0.00027981602856439245,140.03286351330001,44.55,Equities
ComStage MSCI USA TRN UCITS ETF,LU0392495700,ComStage ETF,Swap-based,Accumulating,3.446582872,35.672290056,-0.9033820686423721,0.00027420615081594056,434.44723241,10.76,Equities
Euro STOXX 50 Theam Easy UCITS ETF (EUR distribution share class),FR0012740983,EasyETF,Full Replication,Distributing,3.42429066,4.456327099999999,-0.2315890231666341,0.0002724326081875732,228.27594344,14.33,Equities
Source STOXX Europe 600 Optimised Retail UCITS ETF,IE00B5MTZM66,Source Markets,Swap-based,Accumulating,3.40625353,1.2304050800000002,1.7684000865796161,0.0002709975949664355,17.6301068,14.84,Equities
iShares ATX UCITS ETF (DE),DE000A0D8Q23,iShares,Full Replication,Distributing,3.3409473960000002,1.254371433,1.6634434650745114,0.0002658019144057593,74.63863476,24.51,Equities
iShares S&P Small Cap 600 UCITS ETF,DE000A0RFEB1,iShares,Optimised,Distributing,3.3271960359999997,1.673688119,0.9879426747606612,0.0002647078720936717,355.5799037361964,32.82,Equities
Source STOXX Europe 600 Optimised Construction & Materials UCITS ETF,IE00B5MTY309,Source Markets,Swap-based,Accumulating,3.23439983,2.70979534,0.1935956130177714,0.00025732511316908574,13.530540539999999,14.9,Equities
UBS ETFs plc - MSCI AC Asia ex Japan SF UCITS ETF (USD) A-acc,IE00B7WK2W23,UBS-ETF,Swap-based,Accumulating,3.1750241307448697,2.8021891262035004,0.13305133513471978,0.00025260125114417336,65.47346116367329,71.71,Equities
Amundi ETF MSCI Brazil UCITS ETF,FR0010821793,Amundi ETF,Swap-based,Acc / Distr,3.1738944730394,1.95052235435494,0.627202306065876,0.00025251137688243056,12.2094311598255,44.87,Equities
Market Vectors Junior Gold Miners UCITS ETF,IE00BQQP9G91,Market Vectors,Full Replication,Accumulating,3.1596890699999998,2.38204301,0.32646180473458375,0.00025138121143076895,5.285,279.03,Equities
iShares STOXX Europe 600 Financial Services UCITS ETF (DE),DE000A0H08G5,iShares,Full Replication,Distributing,3.156877086,7.275099848,-0.5660709609548715,0.0002511574932329389,24.4189851,27.38,Equities
Source STOXX Europe 600 Optimised Health Care UCITS ETF,IE00B5MJYY16,Source Markets,Swap-based,Accumulating,3.11928712,8.22950469,-0.6209629573708889,0.0002481668789726815,169.89162543,11.16,Equities
db x-trackers STOXX Europe 600 Insurance UCITS ETF,LU0292105193,db X-trackers,Swap-based,Accumulating,3.11820731,0.02387324,,0.00024808097053678746,14.1327236517,22.23,Equities
iShares STOXX Europe 600 Chemicals UCITS ETF (DE),DE000A0H08E0,iShares,Full Replication,Distributing,3.111057983,5.60747997,-0.44519498961313275,0.0002475121783416191,55.31545888,14.66,Equities
Amundi ETF CAC 40 UCITS ETF,FR0007080973,Amundi ETF,Swap-based,Acc / Distr,3.108089542,0.93958924,2.307923728458193,0.000247276012605653,537.72592636,17.11,Equities
PowerShares EQQQ Nasdaq-100 UCITS ETF,IE0032077012,PowerShares,Full Replication,Distributing,3.0677110929999998,4.6087542599999995,-0.3343730388002939,0.00024406354985997037,1235.0415,16.84,Equities
iShares MSCI Eastern Europe Capped UCITS ETF,DE000A0HGZV3,iShares,Optimised,Distributing,2.978924901,1.0852742350000002,1.7448591378380964,0.00023699982301570694,129.9654925182113,39.63,Equities
iShares Nikkei 225 UCITS ETF,IE00B52MJD48,iShares,Full Replication,Accumulating,2.96176796,3.076122588,-0.0371749254877225,0.0002356348366143626,320.0679191181777,23.08,Equities
iShares Global Infrastructure UCITS ETF,DE000A0LGQM3,iShares,Full Replication,Distributing,2.913145637,9.351159521,-0.6884722551831228,0.0002317665007789261,369.4698110865076,42.7,Equities
db x-trackers MSCI Pacific ex Japan Index UCITS ETF (DR),LU0322252338,db X-trackers,Full Replication,Accumulating,2.8945431,11.38083912,-0.7456652299993148,0.0002302865044301886,444.3119061657056,30.62,Equities
Amundi ETF MSCI Pacific ex Japan UCITS ETF - EUR,FR0010713669,Amundi ETF,Swap-based,Acc / Distr,2.8841438950000002,1.03581375,1.7844232565941516,0.0002294591556965308,151.7751313,23.55,Equities
UBS ETF - MSCI Japan 100% hedged to EUR UCITS ETF (EUR) A-acc,LU0950672476,UBS-ETF,Full Replication,Accumulating,2.88140972,1.41250469,1.0399293116683386,0.00022924162789283344,257.79462186,43.33,Equities
Source STOXX Europe 600 Optimised Financial Services UCITS ETF,IE00B5MTYK77,Source Markets,Swap-based,Accumulating,2.8731223,2.97659607,-0.03476244931009398,0.0002285822903336363,8.72485496,14.94,Equities
db x-trackers FTSE 250 UCITS ETF (DR),LU0292097317,db X-trackers,Full Replication,Distributing,2.8695828,3.020215427,-0.04987479557033603,0.0002283006918034812,190.81346564581213,33.54,Equities
iShares SLI UCITS ETF (DE),DE0005933964,iShares,Full Replication,Distributing,2.8451800869999997,5.212467211,-0.4541586600303701,0.00022635924015420943,199.64741827438,20.32,Equities
HSBC MSCI Taiwan UCITS ETF,DE000A1JF7R7,HSBC ETFs,Full Replication,Distributing,2.840914,2.65926216,0.06830911323161915,0.0002260198352018959,7.6648332775,32.75,Equities
iShares EURO STOXX Telecommunications 30-15 UCITS ETF (DE) ,DE0006289317,iShares,Full Replication,Distributing,2.81167452,14.172869539999999,-0.8016157199454472,0.0002236935759589237,108.72257765,24.48,Equities
iShares MSCI EM Asia UCITS ETF,IE00B5L8K969,iShares,Optimised,Accumulating,2.787740494,2.449192131,0.13822858513830472,0.0002217894125058104,134.5502291745957,50.59,Equities
Deka MSCI Japan LC UCITS ETF,DE000ETFL102,Deka ETFs,Full Replication,Distributing,2.7715711400000003,14.45675055,-0.8082853314502269,0.00022050299738504255,17.98915599437825,23.95,Equities
HSBC MSCI Russia Capped UCITS ETF,DE000A1JXC86,HSBC ETFs,Full Replication,Distributing,2.757737905,3.3742437200000004,-0.18270933167803316,0.00021940244119256043,44.832337563900005,39.22,Equities
iShares Global Clean Energy UCITS ETF,DE000A0M5X10,iShares,Full Replication,Distributing,2.750780899,0.550693957,3.99511727709044,0.00021884894983392774,104.3121534220566,69.48,Equities
db x-trackers Equity Momentum Factor UCITS ETF (DR),IE00BL25JP72,db X-trackers,Full Replication,Accumulating,2.74417557,0.030112200000000002,90.13168649251797,0.000218323437491057,33.8464733079,47.39,Equities
Lyxor UCITS ETF STOXX Europe 600 Technology ,FR0010344796,Lyxor ETF,Swap-based,Accumulating,2.73811587,0.06402987,41.76310212717908,0.00021784133476095925,56.20389603,34.75,Equities
db x-trackers Equity Low Beta Factor UCITS ETF (DR),IE00BL25JN58,db X-trackers,Full Replication,Accumulating,2.72309076,0.10947681,23.873676534783943,0.00021664595437067275,24.485494033299997,49.52,Equities
SPDR EURO STOXX Low Volatility UCITS ETF,IE00BFTWP510,SPDR,Full Replication,Accumulating,2.7014674700000003,2.75697383,-0.020133074676301876,0.00021492563040369496,32.7376257,17.79,Equities
SPDR S&P Emerging Markets Dividend UCITS ETF,IE00B6YX5B26,SPDR,Optimised,Distributing,2.67035461,1.83093381,0.4584659453090769,0.00021245032721258826,49.443791492896594,65.02,Equities
iShares MSCI Emerging Markets Minimum Volatility UCITS ETF,DE000A1KB2B3,iShares,Optimised,Accumulating,2.66830226,4.306198889999999,-0.3803578682358537,0.00021228704461805122,283.6576870828104,50.6,Equities
db x-trackers MSCI India Index UCITS ETF,LU0514695187,db X-trackers,Swap-based,Accumulating,2.63429776,2.420302385,0.08841679301158889,0.00020958168588979583,141.595484661396,45.93,Equities
Ossiam World Minimum Variance NR UCITS ETF 1C-EUR,LU0799656698,Ossiam,Swap-based,Accumulating,2.62004102,2.34874754,0.11550559410059025,0.0002084474361288681,35.79392076,27.66,Equities
Source STOXX Europe 600 Optimised Utilities UCITS ETF,IE00B5MTXK03,Source Markets,Swap-based,Accumulating,2.6164666299999997,0.109228,22.954175028380998,0.00020816306179062788,10.87310221,17.44,Equities
iShares MSCI Poland UCITS ETF,DE000A1H8EL8,iShares,Full Replication,Accumulating,2.6027371,2.6153749100000003,-0.004832121754964835,0.00020707075624811609,56.386895399473396,40.31,Equities
SPDR S&P U.S. Energy Select Sector UCITS ETF,IE00BWBXM492,SPDR,Full Replication,Accumulating,2.6020175099999996,2.6984836949999997,-0.03574829270925062,0.00020701350649919264,245.3863181586216,50.91,Equities
db x-trackers Equity Quality Factor UCITS ETF (DR),IE00BL25JL35,db X-trackers,Full Replication,Accumulating,2.58180651,0.14161509,17.231153968125852,0.00020540554269273266,31.1429122511,40.96,Equities
iShares BRIC 50 UCITS ETF,DE000A0MSAE7,iShares,Full Replication,Distributing,2.551351003,1.8942788910000001,0.3468718968056115,0.00020298253774674342,244.69217116824797,45.82,Equities
iShares MSCI EM Latin America UCITS ETF (Dist),DE000A0NA0K7,iShares,Optimised,Distributing,2.542869395,2.0486869,0.24121914139246958,0.0002023077508146479,146.130170464912,53.1,Equities
db x-trackers MSCI World Information Technology Index UCITS ETF,LU0540980496,db X-trackers,Swap-based,Accumulating,2.5398756660000004,1.823572619,0.3928020411892357,0.00020206957319462174,116.07395262834,44.89,Equities
ComStage SDAX TR UCITS ETF,LU0603942888,ComStage ETF,Swap-based,Accumulating,2.536832262,5.535446618,-0.5417113672904361,0.0002018274434889943,42.07292434,59,Equities
iShares STOXX Europe Large 200 UCITS ETF (DE),DE0005933980,iShares,Full Replication,Distributing,2.535528389,4.054058039,-0.3745702788148959,0.0002017237088597221,55.99685414,21.45,Equities
Source STOXX Europe 600 Optimised Food & Beverage UCITS ETF,IE00B5MTYL84,Source Markets,Swap-based,Accumulating,2.53250018,0.34007481,6.4468914060409235,0.00020148278805073709,29.804891559999998,13.67,Equities
Amundi ETF MSCI India UCITS ETF - EUR,FR0010713727,Amundi ETF,Swap-based,Acc / Distr,2.499952517,0.988699661,1.528525714746857,0.00019889333359084606,289.67928688,29.91,Equities
db x-trackers MSCI Malaysia Index UCITS ETF (DR),LU0514694370,db X-trackers,Full Replication,Accumulating,2.4938602850000002,0.518379795,3.810874785349225,0.0001984086426524186,14.410813866533998,75.15,Equities
iShares MSCI Emerging Markets UCITS ETF (Acc),DE000A0YBR46,iShares,Optimised,Accumulating,2.4596110980000003,5.6527022549999995,-0.5648787098552035,0.0001956838169091758,240.54646906417287,37.89,Equities
Amundi ETF Short MSCI USA Daily UCITS ETF,FR0010791194,Amundi ETF,Swap-based,Acc / Distr,2.45050341,0.80323861,2.0507789086483283,0.00019495921977570737,159.31384278,28.44,Equities
db x-trackers MSCI Mexico Index UCITS ETF (DR),LU0476289466,db X-trackers,Full Replication,Accumulating,2.421624391,5.550127638,-0.5636813152872575,0.00019266163839338728,49.821374554274996,46.95,Equities
db x-trackers S&P 500 Equal Weight UCITS ETF (DR),IE00BLNMYC90,db X-trackers,Full Replication,Accumulating,2.38011577,5.05942899,-0.5295683021336366,0.00018935926046928332,362.33190304884045,28.31,Equities
PowerShares Global Buyback Achievers UCITS ETF,IE00BLSNMW37,PowerShares,Full Replication,Distributing,2.34082132,0.05851335,39.00491033242841,0.00018623303943149437,96.33002470000001,50.51,Equities
db x-trackers MSCI AC World Index UCITS ETF (DR),IE00BGHQ0G80,db X-trackers,Optimised,Accumulating,2.30920763,0.9352098299999999,1.4691866530102664,0.00018371789078429004,99.36,22.72,Equities
Lyxor UCITS ETF Turkey (DJ Turkey Titans 20) ,FR0010326256,Lyxor ETF,Swap-based,Accumulating,2.29357346,1.3266936100000002,0.7287891060242613,0.00018247405428416426,135.4886506,48.85,Equities
Deka DAX ex Financials 30 UCITS ETF,DE000ETFL433,Deka ETFs,Full Replication,Distributing,2.28212025,1.49518046,0.5263175991478648,0.00018156285013059512,43.25873833,19,Equities
Lyxor UCITS ETF STOXX Europe 600 Utilities ,FR0010344853,Lyxor ETF,Swap-based,Accumulating,2.27445636,0.1124029,19.234854794671666,0.0001809531198977174,120.98590879999999,27.81,Equities
Deka STOXX Europe Strong Value 20 UCITS ETF,DE000ETFL045,Deka ETFs,Full Replication,Distributing,2.257583211,0.7788396559999999,1.8986495405159496,0.00017961071165997525,10.85489037,38.31,Equities
Deka STOXX Europe 50 UCITS ETF,DE000ETFL250,Deka ETFs,Full Replication,Distributing,2.248149792,0.5564171600000001,3.0404034124324992,0.00017886019974452466,39.76128142,33.36,Equities
ETFS DAXglobal Gold Mining GO UCITS ETF,DE000A0Q8NC8,ETF Securities,Swap-based,Accumulating,2.23795446,0.624505541,2.583562215343098,0.00017804907091117434,45.106748630000006,97.88,Equities
db x-trackers S&P/ASX 200 UCITS ETF (DR),LU0328474803,db X-trackers,Full Replication,Accumulating,2.148501621,3.742392515,-0.4259015823731681,0.00017093230640189254,75.02426348105902,27.38,Equities
ComStage MSCI North America TRN UCITS ETF,LU0392494992,ComStage ETF,Swap-based,Accumulating,2.148450845,9.086496204,-0.7635556328021991,0.00017092826672200355,211.91455011000002,15.81,Equities
db x-trackers S&P Select Frontier UCITS ETF,LU0328476410,db X-trackers,Swap-based,Accumulating,2.1462922790000003,0.8270933149999999,1.594982017234658,0.00017075653370523768,48.85874950310921,130.54,Equities
iShares EURO STOXX Mid UCITS ETF,DE000A0DPMX7,iShares,Full Replication,Distributing,2.1437161600000003,2.853904961,-0.24884809084572723,0.0001705515806542687,448.67157735,23.56,Equities
db x-trackers MSCI EM Short Daily Index UCITS ETF,LU0518622286,db X-trackers,Swap-based,Accumulating,2.13150239,0.747454983,1.8516799519416676,0.00016957986722591646,31.522856811222,58.42,Equities
HSBC MSCI Korea UCITS ETF,DE000A1JXC60,HSBC ETFs,Full Replication,Distributing,2.1190241000000003,0.75439268,1.8089139200025115,0.00016858710889201356,7.1660000362,40.32,Equities
db x-trackers MSCI Indonesia Index UCITS ETF,LU0476289623,db X-trackers,Swap-based,Accumulating,2.111472537,2.133376685,-0.010267360730999986,0.00016798631526546352,61.078545033325994,91.77,Equities
db x-trackers MSCI World Index UCITS ETF (DR),IE00BJ0KDQ92,db X-trackers,Optimised,Accumulating,2.1073842999999997,2.37220893,-0.11163630093914223,0.00016766105985364664,726.5825901620052,30.09,Equities
Amundi ETF MSCI EMU HighDividend UCITS ETF,FR0010717090,Amundi ETF,Swap-based,Acc / Distr,2.0910951740000003,0.899906906,1.323679438459605,0.00016636511581095376,47.775842,11.19,Equities
HSBC MSCI China UCITS ETF,DE000A1JF7L0,HSBC ETFs,Full Replication,Distributing,2.05494805,4.76643085,-0.5688706886411663,0.00016348929239303172,146.60132090000002,44.7,Equities
iShares MSCI Australia UCITS ETF,IE00B5377D42,iShares,Full Replication,Accumulating,2.053226,1.36619778,0.5028761062691816,0.00016335228808483744,180.81307569772449,38.01,Equities
UBS ETF – EURO STOXX 50 UCITS ETF (EUR) A-dis,LU0136234068,UBS-ETF,Full Replication,Distributing,2.05013998,1.36626969,0.5005382868443784,0.00016310676789949225,720.2837434400001,22.18,Equities
ComStage FR EURO STOXX 50 UCITS ETF,LU0488317297,ComStage ETF,Full Replication,Distributing,2.04839536,3.98048285,-0.48539023098667533,0.00016296796794817734,45.126848409999994,15.63,Equities
Lyxor UCITS ETF Eastern Europe (CECE NTR EUR) ,FR0010204073,Lyxor ETF,Swap-based,Accumulating,2.029974143,0.692848199,1.9298974088839334,0.000161502397209127,138.4489729,35.77,Equities
iShares Listed Private Equity UCITS ETF,DE000A0MSAF4,iShares,Full Replication,Distributing,2.028178683,1.5895771,0.2759234408950657,0.00016135955248615703,324.78194530458046,46.99,Equities
db x-trackers MSCI World Industrials Index UCITS ETF,LU0540981387,db X-trackers,Swap-based,Accumulating,2.02524091,0.180939,10.192948507508056,0.00016112582666083438,12.462919865279998,54.48,Equities
Ossiam Europe Minimum Variance NR UCITS ETF 1C-EUR,LU0599612842,Ossiam,Swap-based,Accumulating,2.0145215800000003,1.60681662,0.2537345923145855,0.00016027300915207675,376.09212255,18.47,Equities
ComStage EURO STOXX Select Dividend 30 NR UCITS ETF,LU0378434236,ComStage ETF,Swap-based,Accumulating,2.00743473,0.6275220300000001,2.1989868626604228,0.00015970918755483704,55.36896237,11.35,Equities
Source MSCI World UCITS ETF,IE00B60SX394,Source Markets,Swap-based,Accumulating,1.994104473,3.28808035,-0.39353535779622906,0.00015864864771085061,405.963266765781,15.54,Equities
iShares EURO Total Market Growth Large UCITS ETF,DE000A0HG3L1,iShares,Full Replication,Distributing,1.96422947,4.65354139,-0.5779065220692063,0.00015627182699233673,198.30200449,13.12,Equities
ComStage STOXX Europe 600 Real Estate NR UCITS ETF,LU0378436793,ComStage ETF,Swap-based,Accumulating,1.95244523,0.46416068,3.206399452017349,0.0001553342864744683,27.44237316,14.1,Equities
ComStage MSCI Pacific TRN UCITS ETF,LU0392495023,ComStage ETF,Swap-based,Accumulating,1.9156848,1.342845013,0.426586673409346,0.0001524096691398532,90.45888713,29.37,Equities
HSBC MSCI World UCITS ETF,DE000A1C9KL8,HSBC ETFs,Optimised,Distributing,1.8999568100000002,1.2133376200000001,0.5658929375320942,0.00015115836842893515,243.58583116819997,21.02,Equities
HSBC MSCI Mexico Capped UCITS ETF,DE000A1JF7P1,HSBC ETFs,Full Replication,Distributing,1.89790563,1.762823,0.07662858381130722,0.00015099517891824614,14.5130350699,43.04,Equities
Amundi ETF MSCI World ex EMU UCITS ETF,FR0010756114,Amundi ETF,Swap-based,Acc / Distr,1.877237678,1.158055925,0.6210250623258975,0.00014935086053866807,123.26535028,24.66,Equities
iShares MSCI Mexico Capped UCITS ETF,IE00B5WHFQ43,iShares,Full Replication,Accumulating,1.86827933,1.09169829,0.7113513386560311,0.0001486381447230393,61.934944823049804,53.15,Equities
Lyxor UCITS ETF MSCI Malaysia ,FR0010397554,Lyxor ETF,Swap-based,Accumulating,1.8568737279999998,0.41131196000000003,3.51451430685361,0.00014773072820693973,22.40898206,72.13,Equities
db x-trackers STOXX Europe 600 Utilities UCITS ETF,LU0292104899,db X-trackers,Swap-based,Accumulating,1.84998683,0.63887713,1.8956848557092658,0.0001471828145597782,20.6915836398,21.21,Equities
Lyxor UCITS ETF South Africa (FTSE JSE TOP 40),FR0010464446,Lyxor ETF,Swap-based,Accumulating,1.81885444,1.11884016,0.6256606663100117,0.0001447059575844382,44.42752091,44.63,Equities
db x-trackers CSI 300 Health Care UCITS ETF,LU0781022339,db X-trackers,Swap-based,Accumulating,1.7881111299999999,0.8393363199999999,1.130386934762933,0.0001422600553643214,6.500506811085,172.95,Equities
db x-trackers CSI 300 Consumer Discretionary UCITS ETF,LU0781021950,db X-trackers,Swap-based,Accumulating,1.77774457,0.9172361,0.9381537316291848,0.00014143530382914276,5.365888045005001,210.4,Equities
db x-trackers FTSE 100 UCITS ETF (DR) – Income,LU0292097234,db X-trackers,Full Replication,Distributing,1.777178533,9.534620537,-0.813607838287482,0.00014139027057947094,383.96125371931026,16.71,Equities
iShares Dow Jones Industrial Average UCITS ETF,IE00B53L4350,iShares,Full Replication,Accumulating,1.76691098,0.47707526,2.7036315402311994,0.00014057339592681101,211.7812941642776,22.71,Equities
Lyxor UCITS ETF STOXX Europe 600 Food & Beverage ,FR0010344861,Lyxor ETF,Swap-based,Accumulating,1.750996682,1.94023728,-0.09753477059259474,0.00013930727276668933,150.68405180000002,26.07,Equities
Lyxor UCITS ETF MSCI EMU Small Cap ,FR0010168773,Lyxor ETF,Swap-based,Distributing,1.7504071939999999,0.6706192510000001,1.6101356192651255,0.00013926037378255484,390.5045576,62.18,Equities
Lyxor UCITS ETF MSCI AC Asia Ex Japan,FR0010652867,Lyxor ETF,Swap-based,Accumulating,1.72759176,2.5589277200000002,-0.32487668702107786,0.00013744520421644346,109.0679826,69.82,Equities
db x-trackers Russell Midcap UCITS ETF (Prospective DR),IE00BJZ2DC62,db X-trackers,Full Replication,Accumulating,1.70702978,3.0754255600000002,-0.4449451802045893,0.00013580931684673616,130.70207540979087,54.53,Equities
iShares MSCI Canada UCITS ETF,IE00B52SF786,iShares,Full Replication,Accumulating,1.702259364,3.028995537,-0.43801192731833327,0.000135429788061928,462.4517570090957,46.06,Equities
iShares Emerging Markets Dividend UCITS ETF,DE000A1JXDN6,iShares,Optimised,Distributing,1.70187456,3.86801246,-0.5600131650041272,0.00013539917350032386,153.9727281510956,59.92,Equities
Lyxor UCITS ETF MSCI EM Latin America ,FR0010410266,Lyxor ETF,Swap-based,Accumulating,1.68487916,1.147809507,0.46790835040539513,0.00013404703911428108,60.019914719999996,60.43,Equities
SPDR MSCI Emerging Markets Small Cap UCITS ETF,IE00B48X4842,SPDR,Optimised,Accumulating,1.68008592,1.36401557,0.2317204854193855,0.00013366569447840576,35.5190193440634,79.82,Equities
Source JPX-Nikkei 400 UCITS ETF,DE000A119T29,Source Markets,Swap-based,Accumulating,1.6736665800000001,3.1886739100000003,-0.47512143692360187,0.00013315497920546722,200.92883508,21.58,Equities
Lyxor UCITS ETF STOXX Europe 600 Personal & Household ,FR0010344978,Lyxor ETF,Swap-based,Accumulating,1.673142495,2.78542995,-0.39932343478966326,0.00013311328360844041,46.15867107,17.92,Equities
iShares MSCI World Value Factor UCITS ETF,IE00BP3QZB59,iShares,Full Replication,Accumulating,1.65486939,5.33363424,-0.6897294948369013,0.00013165949648896868,47.79225484112099,46.11,Equities
db x-trackers MSCI Thailand Index UCITS ETF (DR),LU0514694701,db X-trackers,Full Replication,Accumulating,1.641628367,2.2778738020000002,-0.2793154890500822,0.00013060605599891353,25.13482620723,82.57,Equities
db x-trackers MSCI EM EMEA Index UCITS ETF,LU0292109005,db X-trackers,Swap-based,Accumulating,1.635051082,4.738872272,-0.6549704258414333,0.00013008277480427833,61.20255582038025,44.81,Equities
HSBC MSCI Indonesia UCITS ETF,DE000A1JF7Q9,HSBC ETFs,Full Replication,Distributing,1.61901666,1.03177334,0.5691592302627242,0.00012880709471751835,15.88729933,78.27,Equities
Ossiam US Minimum Variance NR UCITS ETF 1C-EUR,LU0599612685,Ossiam,Swap-based,Accumulating,1.6103656100000001,6.34880456,-0.7463513650828149,0.00012811882717569083,213.03560380000002,20.55,Equities
db x-trackers STOXX Europe 600 Food & Beverage UCITS ETF,LU0292105359,db X-trackers,Swap-based,Accumulating,1.606904681,2.081483256,-0.22800018863087113,0.00012784347966350798,84.9221388081,21.38,Equities
UBS ETF – FTSE 100 UCITS ETF (GBP) A-dis,LU0136242590,UBS-ETF,Full Replication,Distributing,1.60271454,1.63757592,-0.021288405364436436,0.00012751011688719982,162.22939687000002,21.93,Equities
ComStage F.A.Z. Index UCITS ETF,LU0650624025,ComStage ETF,Swap-based,Accumulating,1.5973188,2.4516019,-0.3484591442028169,0.00012708083804750518,31.908951690000002,11.99,Equities
Source STOXX Europe 600 Optimised Personal & Household Goods UCITS ETF,IE00B5MTZ595,Source Markets,Swap-based,Accumulating,1.59395319,0.81159064,0.9639866595800068,0.00012681307400482246,18.24893655,13.54,Equities
Lyxor UCITS ETF Japan (TOPIX) - Daily Hedged,FR0011475078,Lyxor ETF,Swap-based,Distributing,1.59367348,5.4630509400000005,-0.7082814168304277,0.00012679082060042366,138.6140007,35.14,Equities
iShares UK Dividend UCITS ETF,DE000A0HG2R0,iShares,Full Replication,Distributing,1.58594027,1.8452638940000001,-0.14053470879867558,0.0001261755753484443,1196.4138992967846,42.84,Equities
db x-trackers STOXX Europe 600 Technology UCITS ETF,LU0292104469,db X-trackers,Swap-based,Accumulating,1.5663456599999999,2.124719033,-0.2627986874159093,0.00012461665081815387,37.5180055296,20.51,Equities
ComStage MSCI USA Small Cap TRN UCITS ETF,LU0392496005,ComStage ETF,Swap-based,Accumulating,1.531111023,1.1203106980000002,0.3666842829702228,0.00012181342381158536,61.007010030000004,43.51,Equities
Deka MSCI USA LC UCITS ETF,DE000ETFL094,Deka ETFs,Full Replication,Distributing,1.5284568200000002,1.7259838799999998,-0.1144431661783537,0.00012160225848780141,42.175065396279365,16.93,Equities
